Aeródromo;;;;;Geoespacial;;;Operação;Internacionalização;;Pista 1;;;;;Pista 2;;;;;Pista 3;;;;;Heliponto;;;;;;;;;Atos normativos;;;;Classe RBAC 107;Classe RBAC 153;Categoria Tarifária;Especificação Operativa;;;;;;;Medidas Administrativas (DOU);;;Outros;
SDOU;SP0023;JORNALISTA BENEDITO PIMENTEL;OURINHOS;SP;22° 58' 25'' S;49° 54' 41'' W;462 m;VFR Diurno/Noturno;-;-; 16/34;1500 m;30 m;PCN 15/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0978;-;-;-;PA2020-0978;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SDMH;SP0059;MIRASSOL;MIRASSOL;SP;20° 48' 26'' S;49° 29' 10'' W;584 m;VFR Diurno;-;-; 07/25;1000 m;30 m;PCN 8/F/C/Y/U;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-3150;-;-;-;PA2014-3150;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;PA2021-4897;PA2021-4897;;Suspensos os efeitos da Portaria 905/SIA, de 10/04/2014, pela decisão liminar deferida pelo juízo da 3ª Vara Federal de São José do Rio Preto - SP, nos autos do Processo judicial n.º 0002612-13.2014.4.03.6106,  proposta pela Associação Pró-Aeroporto de Mirassol (APROAMI), em face da União e outros.
SDOV;GO0005;MOZARLÂNDIA;MOZARLÂNDIA;GO;14° 46' 8'' S;50° 33' 54'' W;328 m;VFR Diurno;-;-; 17/35;1500 m;30 m;PCN 20/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0972;-;-;-;PA2020-0972;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;Portaria n° 13182 torna pública a revogação da medida cautelar de proibição de operações de pouso, aplicada por meio da Decisão sobre Medida Cautelar nº 18/2020/GFIC/SIA, de 01 de abril de 2020, ao aeródromo público Mozarlândia, CIAD GO0005 código OACI SDOV, localizado em Mozarlândia/GO.
SDPD;SP0072;PINDAMONHANGABA;PINDAMONHANGABA;SP;22° 56' 38'' S;45° 25' 55'' W;574 m;VFR Diurno;-;-; 06/24;750 m;30 m;5600 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2410;-;-;-;PA2020-2410;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SDPN;SP0024;PENÁPOLIS;PENÁPOLIS;SP;21° 24' 36'' S;50° 2' 1'' W;412 m;VFR Diurno/Noturno;-;-; 15/33;1500 m;30 m;PCN 27/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-10.221;-;-;-;PA2023-10.221;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SDPV;SP0040;PRESIDENTE VENCESLAU;PRESIDENTE VENCESLAU;SP;21° 53' 36'' S;51° 53' 4'' W;445 m;VFR Diurno;-;-; 14/32;1200 m;30 m;5700 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1924;-;-;-;PA2020-1924;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SDPW;SP0041;PEDRO MORGANTI;PIRACICABA;SP;22° 42' 43'' S;47° 37' 5'' W;584 m;VFR Diurno/Noturno;-;-; 17/35;1200 m;30 m;PCN 21/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7000;-;-;-;PA2022-7000;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SDPY;SP0066;PIRASSUNUNGA;PIRASSUNUNGA;SP;22° 1' 40'' S;47° 25' 18'' W;683 m;VFR Diurno;-;-; 02/20;860 m;30 m;PCN 8/F/C/Y/U;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1565;-;-;-;PA2020-1565;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SDRK;SP0049;RIO CLARO;RIO CLARO;SP;22° 25' 54'' S;47° 33' 45'' W;600 m;VFR Diurno;-;-; 03/21;1180 m;40 m;5600 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;4  -;quadrado;21 m x21 m;4,5 t;Grama;PA2018-1635;-;-;-;PA2018-1635;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SDRR;SP0028;AVARÉ-ARANDU;AVARÉ;SP;23° 5' 32'' S;48° 59' 14'' W;798 m;VFR Diurno/Noturno;-;-; 15/33;1480 m;30 m;PCN 26/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7106;-;-;-;PA2022-7106;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SDRS;RJ0007;RESENDE;RESENDE;RJ;22° 28' 43'' S;44° 28' 54'' W;402 m;VFR Diurno;-;-; 08/26;1300 m;30 m;PCN 13/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0973;-;-;-;PA2020-0973;-;-;-;AP-0;Classe I;4ª;-;-;3;-;-;-;-;-;-;-;;-
SDSC;SP0029;MÁRIO PEREIRA LOPES;SÃO CARLOS;SP;21° 52' 35'' S;47° 54' 12'' W;807 m;VFR Diurno/Noturno;RNS;INTL (restrito); 02/20;1720 m;45 m;PCN 47/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2564;-;-;-;PA2018-2564;-;-;-;AP-0;Classe I;3ª;-;-;0;-;-;-;-;-;-;-;;-
SBSO;MT0005;REGIONAL DE SORRISO ADOLINO BEDIN;SORRISO;MT;12° 28' 22'' S;55° 40' 8'' W;386 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 05/23;1700 m;30 m;PCN 31/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0745;-;-;-;PA2016-0745;-;-;-;AP-1;Classe I;-;-;-;5;-;-;-;-;-;-;-;X;-
SDOW;PA0021;OURILÂNDIA DO NORTE;OURILÂNDIA DO NORTE;PA;6° 45' 47'' S;51° 2' 60'' W;229 m;VFR Diurno/Noturno;-;-; 14/32;1200 m;30 m;PCN 11/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-10.178;-;-;-;PA2023-10.178;-;-;-;AP-1;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;Portaria n° 14.257, de 04/04/2024, torna pública a revogação da medida cautelar de proibição de operações de pouso de aeronaves de asa fixa com motor à reação (turbojato), aplicada por meio da Decisão sobre Medida Cautelar nº 23/2020/GFIC/SIA, de 14 de abril de 2020, ao aeródromo público Ourilândia do Norte, CIAD PA0021, código OACI SDOW, localizado em Ourilândia do Norte/PA.
SDTF;SP0050;TATUÍ;TATUÍ;SP;23° 19' 55'' S;47° 52' 48'' W;635 m;VFR Diurno;-;-; 14/32;1300 m;30 m;PCN 28/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1084;-;-;-;PA2020-1084;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SDTI;SP0073;TUPI PAULISTA;TUPI PAULISTA;SP;21° 23' 36'' S;51° 36' 3'' W;365 m;VFR Diurno;-;-; 06/24;750 m;23 m;5700 kg / 0,5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1925;-;-;-;PA2020-1925;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SDTK;RJ0011;PARATY;PARATY;RJ;23° 13' 26'' S;44° 43' 24'' W;3 m;VFR Diurno;-;-; 10/28;850 m;23 m;PCN 8/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-6994;-;-;-;PA2022-6994;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;Portaria n° 15.197, de 09/08/2024, torna pública a revogação da medida cautelar de proibição de operações de pouso de aeronaves de asa fixa, aplicada por meio da Decisão sobre Medida Cautelar nº 5/2024/GFIC/SIA, de 8 de abril de 2024, ao aeródromo público Paraty, CIAD RJ0011, código OACI SDTK, localizado em Paraty (RJ).
SDTP;SP0025;JOSÉ VICENTE FARIA LIMA;TUPÃ;SP;21° 53' 24'' S;50° 30' 21'' W;550 m;VFR Diurno/Noturno;-;-; 06/24;1500 m;35 m;PCN 33/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-0305;-;-;-;PA2018-0305;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SDUB;SP0065;ESTADUAL GASTÃO MADEIRA;UBATUBA;SP;23° 26' 29'' S;45° 4' 34'' W;3 m;VFR Diurno;-;-; 09/27;940 m;30 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1019;-;-;-;PA2020-1019;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SDUN;RJ0008;ITAPERUNA;ITAPERUNA;RJ;21° 13' 9'' S;41° 52' 33'' W;110 m;VFR Diurno;-;-; 07/25;1200 m;28 m;PCN 13/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7428;-;-;-;PA2022-7428;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SDTB;SP0069;ATIBAIA;ATIBAIA;SP;23° 7' 42'' S;46° 34' 29'' W;797 m;VFR Diurno;-;-; 02/20;1057 m;30 m;5000 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-1106;-;-;-;PA2014-1106;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;Portaria n° 10.679/2023 torna pública a revogação de medida cautelar de restrição às operações de pouso.
SDVE;SP0070;VERA CRUZ;VERA CRUZ;SP;22° 13' 49'' S;49° 49' 1'' W;640 m;VFR Diurno;-;-; 15/33;950 m;20 m;5600 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1028;-;-;-;PA2020-1028;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SDVG;SP0026;DOMINGOS PIGNATARI;VOTUPORANGA;SP;20° 27' 26'' S;50° 0' 9'' W;511 m;VFR Diurno/Noturno;-;-; 05/23;1500 m;30 m;PCN 26/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3476;-;-;-;PA2020-3476;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SDWQ;PA0027;ALENQUER;ALENQUER;PA;1° 55' 1'' S;54° 43' 22'' W;31 m;VFR Diurno;-;-; 10/28;1000 m;23 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-6798;-;-;-;PA2021-6798;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;-;-;X;Interdição por risco presumido
SDXF;GO0020;ALTO PARAÍSO DE GOIÁS;ALTO PARAÍSO DE GOIÁS;GO;14° 7' 9'' S;47° 31' 49'' W;1339 m;VFR Diurno;-;-; 09/27;1080 m;30 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-1383;-;-;-;PA2018-1383;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SDXJ;MS0017;COSTA RICA;COSTA RICA;MS;18° 29' 29'' S;53° 10' 6'' W;738 m;VFR Diurno;-;-; 09/27;1300 m;23 m;PCN 10/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2207;-;-;-;PA2015-2207;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SDZG;CE0008;PEDRO TEIXEIRA CASTELO REGIONAL TAUÁ;TAUÁ;CE;5° 56' 0'' S;40° 17' 51'' W;444 m;VFR Diurno/Noturno;-;-; 09/27;1200 m;30 m;PCN 7/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1189;-;-;-;PA2020-1189;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SIBU;PB0012;JERÔNIMO SÉRGIO ROSADO MAIA;CATOLÉ DO ROCHA;PB;6° 21' 45'' S;37° 45' 19'' W;272 m;VFR Diurno;-;-; 11/29;1000 m;18 m;PCN 10/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4759;-;-;-;PA2021-4759;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SDUQ;SP0042;PARAGUAÇU PAULISTA;PARAGUAÇU PAULISTA;SP;22° 25' 37'' S;50° 36' 25'' W;486 m;VFR Diurno;-;-; 05/23;1199 m;26 m;5600 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-6993;-;-;-;PA2022-6993;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;PA2019-2858;PA2019-2858;;-
SIBZ;PB0010;ITAPORANGA;ITAPORANGA;PB;7° 18' 40'' S;38° 6' 49'' W;292 m;VFR Diurno;-;-; 14/32;1184 m;24 m;PCN 8/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-0027;-;-;-;PA2018-0027;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Proibição de operações de pouso de aeronaves de asa fixa com motor à reação, exceto no caso de operações de emergência médica ou de transporte de valores realizadas mediante prévia coordenação com o Operador do Aeródromo;PA2024-15.794;PA2024-15.794;;-
SILC;MT0025;AEROPORTO MUNICIPAL BOM FUTURO ;LUCAS DO RIO VERDE;MT;13° 2' 16'' S;55° 57' 1'' W;414 m;VFR Diurno/Noturno;-;-; 08/26;1730 m;30 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-3497;-;-;-;PA2019-3497;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
SIMK;SP0011;TENENTE LUND PRESSOTO;FRANCA;SP;20° 35' 32'' S;47° 22' 59'' W;1003 m;VFR Diurno/Noturno;-;-; 06/24;2000 m;30 m;PCN 26/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-12.343;-;-;-;PA2023-12.343;-;-;-;AP-1;Classe I;3ª;-;-;0;-;-;-;-;-;-;-;;-
SIZX;MT0018;JUARA SUL;JUARA;MT;11° 17' 48'' S;57° 32' 56'' W;302 m;VFR Diurno;-;-; 11/29;1500 m;30 m;PCN 12/F/B/C/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-3950;-;-;-;PA2021-3950;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
SIBY;PB0009;LOURIVAL NUNES DE FARIAS;MONTEIRO;PB;7° 52' 42'' S;37° 8' 12'' W;622 m;VFR Diurno;-;-; 14/32;1140 m;30 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4937;-;-;-;PA2021-4937;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;Portaria n° 10.364/2023 torna pública a revogação de medida administrativa cautelar de proibição de operações de pouso.
SJAU;TO0007;ARAGUACEMA;ARAGUACEMA;TO;8° 50' 16'' S;49° 33' 28'' W;207 m;VFR Diurno;-;-; 12/30;1400 m;30 m;PCN 6/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-3952;-;-;-;PA2021-3952;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;PA2020-2799;PA2020-2799;X;-
SJBY;MA0007;JOÃO SILVA;SANTA INÊS;MA;3° 39' 16'' S;45° 20' 43'' W;21 m;VFR Diurno;-;-; 06/24;1500 m;30 m;PCN 10/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1297;-;-;-;PA2020-1297;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Proibição de operações de pouso na pista 06.;PA2020-0251;PA2020-0251;X;-
SBJA;SC0005;REGIONAL SUL;JAGUARUNA;SC;28° 40' 31'' S;49° 3' 34'' W;35 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 05/23;2499 m;30 m;PCN 57/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.194;-;-;-;PA2023-11.194;-;-;-;AP-1;Classe I;3ª;-;-;5;-;-;-;-;"I - fica proibida a realização de operações de serviço de transporte aéreo de passageiro regidas pelo RBAC nº 121, de aeronaves de categoria 4C, acima do limite de frequências semanais de aeronaves constante da Tabela 1 do Anexo, até 28 de março de 2026; II - fica proibida a realização de operações de serviço de transporte aéreo de passageiro regidas pelo RBAC nº 121 de aeronaves de categoria 4C, a partir de 29 de março de 2026; III - ficam proibidas as operações noturnas de pouso em pista com PAPI inexistente ou inoperante;";PA2025-17.993;PA2025-17.993;;-
SJOG;RO0008;ARIQUEMES;ARIQUEMES;RO;9° 52' 50'' S;63° 2' 50'' W;142 m;VFR Diurno;-;-; 03/21;1306 m;18 m;PCN 25/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3473;-;-;-;PA2020-3473;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
SJQN;GO0006;QUIRINÓPOLIS;QUIRINÓPOLIS;GO;18° 26' 46'' S;50° 24' 33'' W;586 m;VFR Diurno/Noturno;-;-; 13/31;1500 m;30 m;PCN 10/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3471;-;-;-;PA2020-3471;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SJRG;RS0013;REGIONAL DE RIO GRANDE;RIO GRANDE;RS;32° 5' 1'' S;52° 10' 4'' W;6 m;VFR Diurno/Noturno;-;-; 06/24;1900 m;30 m;PCN 11/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-10.073;-;-;-;PA2022-10.073;-;-;-;AP-0;Classe I;3ª;-;-;0;-;-;-;-;-;-;-;;-
SJGU;TO0005;ARAGUATINS;ARAGUATINS;TO;5° 41' 9'' S;48° 6' 51'' W;125 m;VFR Diurno;-;-; 12/30;1500 m;30 m;PCN 8/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-8034;-;-;-;PA2022-8034;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;PA2020-1254;PA2020-1254;X;-
SJTS;PA0028;TERRA SANTA;TERRA SANTA;PA;2° 4' 22'' S;56° 29' 20'' W;25 m;VFR Diurno;-;-; 12/30;1000 m;23 m;5700 kg / 0,5 MPa;Piçarra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-8567;-;-;-;PA2022-8567;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;PA2021-4424;PA2021-4424;X;-
SJZA;PB0004;PEDRO VIEIRA MOREIRA;CAJAZEIRAS;PB;6° 52' 58'' S;38° 36' 57'' W;335 m;VFR Diurno/Noturno;-;-; 12/30;1600 m;30 m;PCN 26/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-3365;-;-;-;PA2016-3365;-;-;-;AP-1;Classe I;-;-;-;0;-;-;-;-;-;-;-;;Proibidas as operações de pouso de aeronaves a jato nas RWY 12 e 30.
SNAB;PE0009;ARARIPINA;ARARIPINA;PE;7° 35' 11'' S;40° 32' 7'' W;740 m;VFR Diurno/Noturno;-;-; 13/31;1247 m;27 m;PCN 11/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-3128;-;-;-;PA2018-3128;-;-;-;AP-1;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SJVO;GO0030;ARAGARÇAS;ARAGARÇAS;GO;15° 53' 58'' S;52° 14' 27'' W;323 m;VFR Diurno;-;-; 10/28;1322 m;30 m;PCN 14/F/B/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-8544;-;-;-;PA2022-8544;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Proibição de operações de aeronaves de asa fixa com motor à reação (turbojato), exceto no caso de operações de emergência médica ou de transporte de valores realizadas mediante prévia coordenação com o Operador do Aeródromo.;PA2020-1542;PA2020-1542;;-
SNAE;PE0007;ARCOVERDE;ARCOVERDE;PE;8° 24' 28'' S;37° 5' 18'' W;648 m;VFR Diurno;-;-; 15/33;1300 m;28 m;PCN 6/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-3679;-;-;-;PA2018-3679;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Proibição de operação de aeronaves de asa fixa com motor à reação (turbojato).;PA2022-8479;PA2022-8479;;-
SNAL;AL0003;ARAPIRACA;ARAPIRACA;AL;9° 46' 35'' S;36° 37' 50'' W;270 m;VFR Diurno/Noturno;-;-; 10/28;930 m;18 m;PCN 13/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1073;-;-;-;PA2020-1073;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNAP;MG0021;JANAÚBA;JANAÚBA;MG;15° 43' 55'' S;43° 19' 23'' W;532 m;VFR Diurno;-;-; 10/28;1500 m;30 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2974;-;-;-;PA2020-2974;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;Portaria n° 11.216/2023 torna pública a revogação da medida cautelar de proibição de operações de pouso.
SNAG;MG0020;ARAGUARI;ARAGUARI;MG;18° 40' 5'' S;48° 11' 25'' W;947 m;VFR Diurno;-;-; 05/23;1500 m;30 m;PCN 14/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;PA2021-4562;PA2021-4562;;-
SNAS;MG0022;TRÊS MARIAS;TRÊS MARIAS;MG;18° 13' 30'' S;45° 11' 26'' W;786 m;VFR Diurno;-;-; 06/24;1500 m;45 m;PCN 24/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4602;-;-;-;PA2021-4602;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SBAC;CE0004;AEROPORTO REGIONAL DE CANOA QUEBRADA DRAGÃO DO MAR;ARACATI;CE;4° 34' 7'' S;37° 48' 17'' W;36 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 09/27;1800 m;30 m;PCN 36/F/A/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-6019;-;-;-;PA2021-6019;-;-;-;AP-1;Classe I;-;3C;NPA;0;PA2019-3971;-;PA2019-3971;-;-;-;-;;-
SNAX;SP0016;MARCELO PIRES HALZHAUSEN;ASSIS;SP;22° 38' 19'' S;50° 27' 21'' W;564 m;VFR Diurno/Noturno;-;-; 12/30;1689 m;30 m;PCN 25/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-8238;-;-;-;PA2022-8238;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SNBA;SP0013;CHAFEI AMSEI;BARRETOS;SP;20° 35' 8'' S;48° 35' 45'' W;580 m;VFR Diurno/Noturno;-;-; 09/27;1800 m;30 m;PCN 32/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1562;-;-;-;PA2020-1562;-;-;-;AP-1;Classe I;3ª;-;-;0;-;-;-;-;-;-;-;;-
SNBC;MA0006;BARRA DO CORDA;BARRA DO CORDA;MA;5° 30' 9'' S;45° 12' 58'' W;160 m;VFR Diurno;-;-; 09/27;1250 m;30 m;PCN 13/F/B/Y/U;Piçarra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1088;-;-;-;PA2020-1088;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
SNAR;MG0033;CIRILO QUEIRÓZ;ALMENARA;MG;16° 9' 57'' S;40° 41' 3'' W;195 m;VFR Diurno/Noturno;-;-; 07/25;1400 m;30 m;PCN 8/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-8565;-;-;-;PA2022-8565;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Proibição de operações noturnas.;PA2021-4212;PA2021-4212;;-
SNBI;MA0005;BACABAL;BACABAL;MA;4° 13' 41'' S;44° 49' 11'' W;21 m;VFR Diurno;-;-; 10/28;1600 m;30 m;PCN 25/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-0629;-;-;-;PA2018-0629;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
SNBM;MG0051;CRISTIANO FERREIRA VARELLA;MURIAÉ;MG;21° 7' 34'' S;42° 23' 40'' W;270 m;VFR Diurno;-;-; 12/30;1140 m;23 m;PCN 12/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1561;-;-;-;PA2020-1561;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SNBR;BA0011;DOM RICARDO WEBERBERGER;BARREIRAS;BA;12° 4' 45'' S;45° 0' 34'' W;747 m;VFR Diurno/Noturno;-;-; 08/26;1600 m;30 m;PCN 35/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7059;-;-;-;PA2022-7059;-;-;-;AP-1;Classe I;3ª;-;-;0;-;-;-;-;-;-;-;;-
SNBS;MA0010;BALSAS;BALSAS;MA;7° 31' 31'' S;46° 3' 12'' W;289 m;VFR Diurno;-;-; 15/33;970 m;25 m;PCN 14/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2308;-;-;-;PA2015-2308;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;X;-
SNBX;BA0028;BARRA;BARRA;BA;11° 4' 52'' S;43° 8' 51'' W;389 m;VFR Diurno;-;-; 06/24;1300 m;20 m;PCN 10/F/B/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-0574;-;-;-;PA2016-0574;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
